collaborator,collaboration
Michał Mokrzycki,Drums
Michał Niemira,Drums [solo]
Michal Pavlíček,Electric Guitar
Michal Pospíšil,Double Bass
Michal Prokop,Vocals
Michał Przerwa-Tetmajer,Electric Guitar
Michał Przytuła,"Guest, Keyboards"
Michał Rybka,Bass
Michał Skrok,Bass Guitar
Michal Stejskal,Trumpet
Michal Střihavka,Baritone Saxophone
Michał Szumlas,Bass
Michal Tokaj,Piano
Michał Tokaj,Piano
Michał Tomaszczyk,Trombone
Michal Török,Drums
Michał Trela,Drums
Michał Urbaniak,Tenor Saxophone
Michal Vaňouček,Piano
Michał Walczak,Guitar
Michał Wierba,Piano
Michał Załęski,Fortepiano
Michał Zduniak,Drums
Michala Marcus,Flute
Michala Østergaard-Nielsen,"Drums, Percussion"
Michalis Bakalis,Percussion
Miche Braden,Backing Vocals
Mícheál Ó Domhnaill,"Guitar, Whistle, Piano, Harmonium"
Michel Alcaïna,Drums
Michel Alibo,Bass
Michel Altier,Contrabass
Michel Attenoux,Soprano Saxophone
Michel Audisso,"Alto Saxophone, Soprano Saxophone"
Michel Babault,Drums
Michel Barengo,Drums
Michel Barrere,Percussion
Michel Barrot,Trumpet
Michel Bastet,Piano
Michel Beck,Piano
Michel Benita,Bass
Michel Bescont,Tenor Saxophone
Michel Bisceglia,Piano
Michel Blanc,Drums
Michel Boiton,"Drums, Percussion"
Michel Bonnet (3),Trumpet
Michel Bos,Trumpet
Michel Brosseau,Guitar
Michel Camicas,Trombone
Michel Camilo,Piano
Michel Cassez,"Baritone Saxophone, Bass Clarinet"
Michel Castellanos,Drums
Michel Challot,Trombone
Michel Chalot,Trombone [Lead]
Michel Chauvin,Percussion
Michel Cloutier (3),Drums
Michel Coffi,Drums
Michel Colombier,Piano
Michel Côté,"Saxophone, Clarinet"
Michel Côté (3),Alto Saxophone
Michel Craillier,Piano
Michel Cusson,Guitar
Michel Cyr,Keyboards
Michel Darnis,Lead Guitar
Michel De Rudder,Bariton Saxophone
Michel de Villers,Alto Saxophone
Michel Debrulle,Drums
Michel Delacroix,Guitar
Michel Delakian,Trumpet
Michel Delaporte,Percussion
Michel Delbrulle,Drums
Michel Delville,Electric Guitar
Michel Denis,Drums
Michel Di Toro,Piano
Michel Donato,Bass
Michel Doneda,Soprano Saxophone
Michel Donnay,Tenor Saxophone
Michel Drapeau,Percussion
Michel Dubeau,Bass Clarinet
Michel Dumonceau,Drums
Michel Dupire,"Percussion [Latines], Vibraphone, Xylophone"
Michel Edelin,Flute
Michel Emer,Piano
Michel F. Côté,"Clarinet [Contrabass, Bass]"
Michel Fanlou,Bass
Michel Fauteux,Drums
Michel Feugère,Trumpet
Michel Gaucher,Saxophone
Michel Gaudry,Bass
Michel Gentile,Flute
Michel Gésina,Acoustic Guitar
Michel Gladieux,Bass
Michel Gobbe,"Double Bass [Bass], Claves, Bells [Chinese Bell]"
Michel Godard,"Tuba, Serpent, Bass"
Michel Goldberg,Alto Saxophone
Michel Goubin,"Electric Piano [Fender Rhodes], Synthesizer [Oberheim Polyphonic], Grand Piano [Yamaha], Synthesizer [Moog], Vocals"
Michel Goudret,Bass
Michel Grailler,Piano
Michel Graillier,Piano
Michel Guidry,Bass
Michel Guillemin,Bass
Michel Halley,Percussion [Ka Boula]
Michel Hamparsumyan,Trumpet
Michel Hatzigeorgiou,Electric Bass
Michel Henritzi,"Percussion [Snare Drum, Wood, Metal Junk], Turntables, Performer [Feedback Amp]"
Michel Herr,Piano
Michel Janssen,Drums
Michel Jost,"Trumpet, Flugelhorn"
Michel Jules,Guitar
Michel Julien,Drums
Michel Kristof,Electric Guitar
Michel Kunz,Guitar
Michel Lambert,Drums
Michel Lassalle,"Trumpet, Flugelhorn"
Michel Lavallée,Vocals
Michel Lefrancois,Guitar
Michel Legrand,Piano
Michel LeGrand,Piano
Michel Lorentz,Drum Programming
Michel Lostanlen,Guitar
Michel Machietto,Saxophone
Michel Magnien,Tenor Saxophone
Michel Mandel,"Bass Clarinet, Synthesizer [Casio]"
Michel Marissiaux,Bass Guitar
Michel Marques,Drums [Bateria]
Michel Marre,Trumpet
Michel Massot,"Tuba, Trombone"
Michel Mast,Saxophone
Michel Mayer,Guitar
Michel Mulia,Bass
Michel Muller,Trumpet
Michel Ouellet,Trombone
Michel Ouellet (2),Trombone
Michel Pacout,Drums
Michel Pacquit,Piano
Michel Paquinet,Trombone
Michel Paré,"Trumpet, Flugelhorn"
Michel Parmentier,Piano
Michel Pastre,Tenor Saxophone
Michel Pechberty,Trombone
Michel Perez,Guitar
Michel Petrucciani,Piano
Michel Peyratout,Bass Guitar
Michel Pilet,Tenor Saxophone
Michel Pilz,Bass Clarinet
Michel Plockyn,Flute
Michel Poffet,Bass
Michel Poli,Trumpet
Michel Polnareff,Piano
Michel Ponticelli,"Tenor Saxophone, Clarinet, Piano"
Michel Portal,Bass Clarinet
Michel Prandi,"Guitar, Composed By"
Michel Ratté,Drums
Michel Reis,Piano
Michel Riard,"Drums, Percussion"
Michel Richard (4),Vocals
Michel Roques,Flute
Michel Rosciglione,Bass
Michel Rose,Pedal Steel Guitar
Michel Rubini,"Piano, Organ"
Michel Sabiani,Drums
Michel Sardaby,Piano
Michel Saulnier,Contrabass
Michel Seba,Percussion
Michel Seigner,"Electric Guitar, Voice, Electronics, Viola [Tenor Da Gamba]"
Michel Senamaud,Drums
Michel Stekkar,Trombone
Michel Sunyer,"Drums, Percussion"
Michel Supéra,Baritone Saxophone
Michel Tavernier,"Bassoon, Contrabassoon"
Michel Terrioux,Technician [Piano Tuner]
Michel Therrien,Saxophone
Michel Trousselet,"Baritone Saxophone, Clarinet"
Michel Trudelle,Baritone Saxophone
Michel Valensi,Voice
Michel van Schie,Bass
Michel Verstraeten,Contrabass
Michel Viale,Trombone
Michel Waisvisz,Synthesizer
Michel Weber,Tenor Saxophone
Michel Wintsch,Piano
Michel Zanlonghi,"Percussion, Vibraphone, Xylophone"
Michel Zenino,Contrabass
Michela Martelli,Vocals
Michelangelo Brandimarte,"Electric Bass, Electronics [Live], Performer [Objects]"
Michelangelo Mazzari,Piano
Michele Anelli (2),Bass
Michele Ariodante,Guitar
Michele Ascolese,Acoustic Guitar
Michele Benvenuti,Trombone
Michele Bianco,Trombone
Michèle Bigo,Vocals
Michele Bozza,Tenor Saxophone
Michele Brieda,"Drum Machine, Synthesizer, Autoharp, Tape"
Michele Calgaro,Electric Guitar
Michele Carrabba,Tenor Saxophone
Michele Cavallari,"Piano, Electronics, Effects"
Michele Di Toro,Fortepiano
Michele Donati,Piano [Pianoforte]
Michele Eaton,Vocals
Michele Faber,Electric Piano
Michèle Fernandez,"Soprano Saxophone [Soprano Sax], Vocals [Singing]"
Michele Francesconi (2),Piano
Michele Giacomazzi,Guitar
Michele Gori (2),Flute
Michele Grego,Contrabassoon
Michele Heels,Electric Bass
Michèle Hendricks,Vocals
Michele Iannaccone,Drums
Michele Lacerenza,Trumpet
Michele Lipparini,Guitar
Michele Locatelli,Electric Guitar
Michele Lomuto,"Trombone, Didgeridoo"
Michele Manzo,Guitar
Michele Marasco,Flute
Michele Marzella,Trombone
Michele Mastropieri,Bass Drum
Michele Menard,"Vocals, Tambourine"
Michele Mongarli,Percussion
Michele Motola,Alto Saxophone
Michele Navazio,Guitar
Michele Papadia,"Organ [Hammond B3], Electric Piano [Wurlitzer]"
Michele Pillar,Vocals
Michele Polga,Soprano Saxophone
Michele Rabbia,Percussion
Michele Rosewoman,Piano
Michele Salgarello,Drums
Michele Sammarco,Alto Saxophone [Alto Sax]
Michele Spanghero,Double Bass
Michele Vanni,Electric Guitar
Michèle Véronique,"Violin, Voice"
Michele Von Ritter,Tenor Saxophone
Michele Weir,Vocals
Michelin Prell,"Drums, Percussion"
Micheline Day,Vocals
Micheline Pelzer,Drums
Michelle Anne Williams,Vocals
Michelle Bobko,Vocals
Michelle Burr,Bass [String Bass]
Michelle Cohen,Vocals
Michelle Fenton,Vocals
Michelle Fujii,"Taiko, Percussion, Shekere"
Michelle Hendricks,Vocals
Michelle Lambert (2),Trombone [Lead]
Michelle Lovett,"Vocals, Backing Vocals, Chorus"
Michelle Mailhot Vines,Vocals
Michelle McKinney,Vocals
Michelle Thibert,Tenor Saxophone
Michelle Wiley,Vocals
Michi Erian,Saxophone
Michi Neutsch,Keyboards
Michiaki Tanaka,Percussion
Michie Sahara,Vocals
Michiel Borstlap,Piano
Michiel Braam,Piano
Michiel Lutters,Trombone
Michiel Pieters,"Vocals, Bass"
Michiel Poell,"Producer, Trumpet, Flugelhorn"
Michiel Scheen,Piano
Michiel Sheen,Piano
Michiharu Yamazaki,Trombone [Bass]
Michihiro Satoh,"Shamisen [Tsugaru], Voice, Music By"
Michiko Hill,Piano
Michiko Isogai,"Vocals, Written-By"
Michio Kagiwada,Trombone
Michio Nagaoka,Electric Bass
Michito Sanchez,Percussion
Michiyo Koga,"Koto [2nd, Bass]"
Michiyo Suzuki,Bass Clarinet
Michiyo Yagi,"Koto [21-string Koto, 17-string Bass Koto]"
Mick Ball,Trumpet
Mick Beck,Tenor Saxophone
Mick Brannan,"Alto Saxophone, Piano"
Mick Carter,Guitar
Mick Coady,Double Bass
Mick Cousins,Trombone
Mick Dobday,Piano
Mick Donnelly,Alto Saxophone
Mick Foster,"Baritone Saxophone, Bass Clarinet"
Mick Gilligan,Bass
Mick Goodrick,Guitar
Mick Green (5),"Saxophone [Bass Ash Tray], Soprano Saxophone [Soprano Sax], Tenor Saxophone [Tenor Sax]"
Mick Hanson,Electric Guitar
Mick Harding (2),Trombone
Mick Higgins (2),Guitar
Mick Hutton,Bass
Mick Jackman,"Keyboards, Vibraphone, Marimba"
Mick Kaluzny,Guitar
Mick Meagher,Bass
Mick Morris (7),"Trumpet, Flugelhorn"
Mick Mulligan,Trumpet
Mick Parker,Keyboards
Mick Parsons,Bass
Mick Potts,Trumpet
Mick Pyne,Piano
Mick Rodwell,Steel Guitar [Lap]
Mick Rosenberg,Guitar
Mick Rossi,Drums
Mick Rossi (2),"Piano, Percussion, Written-By, Producer"
Mick Sheppard,Trombone
Mick Shoulder,Double Bass
Mick Tauben,"Keyboards, Programmed By"
Mick Taylor,Guitar
Mick Thompson (2),Crew [Keyboard Technician]
Mick Waller,Drums
Micke Herbolzheimer,Voice
Micke Kullvén,Vocals
Micke Nilsson,Percussion
Mickey Ashman,Bass
Mickey Baker,Guitar
Mickey Basil,Piano
Mickey Bass,Bass
Mickey Bloom,Trumpet
Mickey Crane,Piano
Mickey Folus,Tenor Saxophone
Mickey Galizio,Bass
Mickey Graume,Trombone
Mickey Gravine,Trombone
Mickey Houlihan,Recorded By [Raven Vocalizations]
Mickey Iannone,Trombone
Mickey Kearns,"Baritone Saxophone, Guitar, Vocals"
Mickey Lynne,Vocals
Mickey Magnano,Trumpet
Mickey Mangano,Trumpet
Mickey McClain,"Piano, Organ"
Mickey McMahon,Trumpet
Mickey McMickle,Trumpet
Mickey McPhillips,Acoustic Bass
Mickey Neher,Drums
Mickey Nicholas,Alto Saxophone
Mickey Nicolas,Alto Saxophone
Mickey Raphael,Vocals
Mickey Rich,Tenor Saxophone
Mickey Roker,Drums
Mickey Sabol,Tenor Saxophone
Mickey Scrima,Drums
Mickey Shannon,Drums
Mickey Sheen,Drums
Mickey Steinke,Drums
Mickey Tucker,Piano
Mickey Turner,Piano
Mickey Ututaonga,Drums
Mickey Wallace (2),Keyboards
Mickey Yamamoto,"Bass, Backing Vocals"
Mickie Roquemore,Synthesizer [Bass]
Mickie Yoshino,Synthesizer
Mickki Brown,Backing Vocals
Micky Ashman,Bass
Micky Bister,Drums
Micky Cooke,Trombone
Micky Harris,Bass
Micky Orta,Bass
Micky Roker,Drums
Micky Weaver,Trumpet
Micky Wolf,Guitar [Git]
Mico Nissim,Piano
Middie Middleton,Tenor Saxophone
Middle Middleton,Tenor Saxophone
Middy Middleton,Tenor Saxophone [Third]
Midge Pike,Bass
Midge Williams,Vocals
Midori Onaga,Percussion
Midori Takada,Percussion
Midori Yoshioka,"Vocals, Voice"
Midorin,Drums
Mie Zagar,Soprano Vocals
Mieczyslaw Górka,Drums
Mieczysław Górka,Drums
Mieczysław Jurecki,Bass Guitar
Mieczysław Kosz,Piano
Mieczysław Litwiński,Vocals
Mieczysław Mazur,Piano
Mieczysław Osiadły,Bass
Mieczysław Pawelec,Trumpet [and Flugelhorn]
Mieczysław Szcześniak,Vocals
Mieczysław Wadecki,Drums
Mieczysław Wolny,Flute
Mieke Brakman,Flute
Miff Ferrie,Trombone
Miff Mole,Trombone
Miff Sines,Trombone
"Miguel ""Angá"" Díaz",Percussion
"Miguel ""Chino"" Figueroa","Electric Piano, Clavinet"
"Miguel ""Pintxo"" Villar",Tenor Saxophone
Miguel Altamar De La Torre,"Drums, Percussion"
Miguel Alvarado (2),Percussion
Miguel Ángel Chastang,"Double Bass, Arranged By, Directed By, Liner Notes"
Miguel Angel Cordero,Contrabass
Miguel Angel De Armas,Piano
Miguel Angel Lizandra,Drums
Miguel Atwood-Ferguson,Acoustic Bass
Miguel Bensadon,"Trombone, Tenor Saxophone"
Miguel Boelens,Alto Saxophone
Miguel Colmenero,Percussion
Miguel Costillas,Saxophone
Miguel Da Costa Ferreira,"Performer [Percussion, Bass, Drums]"
Miguel De La Cerna,Piano
Miguel Ferreira,Electric Piano [Fender Rhodes]
Miguel Fuentes,Percussion
Miguel Gomez,Percussion
Miguel Martinez (3),Saxophone
Miguel Mendes,Alto Saxophone
Miguel Mira,Double Bass
Miguel Peña,Guitar
Miguel Perez,Guitar
Miguel Pérez,Guitar
Miguel Pérez Iñesta,Bass Clarinet
Miguel Pomier,Percussion
Miguel Prado (2),Guitar
Miguel Ramos,Piano
Miguel Rios,"Percussion, Vocals"
Miguel Rodrigáñez,Bass [String]
Miguel Rodriguez (9),Piano
Miguel Sá Pessoa,Synthesizer
Miguel Sanchez,Percussion
Miguel Urvina,"Percussion [Fulia, Culo'e Puya]"
Miguel Vaidez-Pomier,Percussion
Miguel Valdés,Drums
Miguel Valdés (3),Percussion
Miguel Yamba,Bass
Miguel Zenon,Alto Saxophone
Miha Škerlep,Flute [Guest]
Miha Švent,"Bass, Vocals"
Miha Vavti,Saxophone
Mihai Farcaș,Drums [Baterie]
Mihai Iordache,Alto Saxophone
Mihai Moldoveanu,Bass
Mihai Porcișanu,"Trombone, Vocals, Leader"
Mihai Șercăianu,"Musician [Component], Trumpet"
Mihail Grozdanov,Alto Saxophone
Mihail Iosifov,Trumpet
Mihail Ivanov,Double Bass
Mihail Josifov,Trumpet
Mihail Liolev,"Trumpet, Flugelhorn"
Mihail Rashev,Flute
Mihaly Biggs,Acoustic Bass
Mihály Dresch,"Tenor Saxophone, Soprano Saxophone"
Mihály Farkas,Bass
Mihály Ráduly,Tenor Saxophone
Mihkel Mälgand,Double Bass
Mihkel Metsala,Trumpet
Miho Yoshida,Percussion
Mihwa Kim,Alto Vocals
Miia Elivuo,Vocals
Miikka Paatelainen,"Guitar [Guitars, Lap Steel], Melodica, Whistling, Theremin, Double Bass [Choirs]"
Mija Folkesson,Vocals
Mika Arisaka,Backing Vocals
Mika Borg,Trombone
Mika Brushane,Percussion
Mika Kallio,Drums
Mika Kuuskankare,Trumpet
Mika Latvala,Piano Tuning By
Mika Markovitch,Drums
Mika Mylläri,Trumpet
Mika Nakashima,Vocals
Mika Nishimura,Piano
Mika Pohjola,Piano
Mika Pollack,Bass
Mika Terho,Trombone
Mika Urbaniak,Vocals
Mika Vanhanen,Piano
Mikael Bergerheim,"Producer, Electric Piano, Piano, Backing Vocals"
Mikael Berglund,Bass
Mikael Frank Møller,Saxophone
Mikael Godée,Soprano Saxophone
Mikael Jakobsson,Piano
Mikael Jokobsson,Piano
Mikael Karlsson (8),"Tenor Saxophone, Flute"
Mikael Långbacka,Trombone
Mikael Lindqvist,"Composed By, Piano, Conductor"
Mikael Lingedal,Acoustic Guitar
Mikael Nilsson (3),Trombone
Mikael Råberg,Trombone
Mikael Selander,Guitar
Mikael Szafirowski,Guitar
Mikael Wiik,Vocals
Mikael Zakarian,Piano
Mikaela Kahn,Soprano Vocals
Mikaele Pellegrino,"Classical Guitar, Electric Guitar"
Mikan Zlatković,Piano
Mikayl Dawood,"Electric Guitar, Written By"
"Mike ""Bad Words"" Wilson","Drums, Percussion, Voice"
"Mike ""Crazy Neck"" Sims",Guitar
Mike Abbott (3),Guitar
Mike Abene,Piano
Mike Abraham,Guitar
Mike Adams (12),Drums
Mike Adcock,"Accordion, Guitar, Cover [Front]"
Mike Alarcon,Drums
Mike Alexander (10),"Congas, Steel Drums"
Mike Allard,Alto Saxophone
Mike Allemana,Guitar
Mike Allen (11),Tenor Saxophone
Mike Alterman,Piano
Mike Altschul,Flute
Mike Andres,Alto Saxophone
Mike Anthony (4),Guitar
Mike Applebaum,"Guest, Trumpet [First Trumpet]"
Mike Arnopol,Bass
Mike Asher,Piano
Mike Aubin,Drums
Mike Ault (2),Guitar
Mike Azevedo,"Congas, Percussion"
Mike Bacile,Bass
Mike Baggetta,Acoustic Guitar [Prepared]
Mike Bailey,Trumpet
Mike Baird,Drums
Mike Baker (19),"Drums, Percussion"
Mike Baker (2),Drums
Mike Balogh,Trombone
Mike Bankston,Drums
Mike Barnes (8),"Arranged By, Keyboards, Sequenced By"
Mike Barnett,"Drums, Illustration"
Mike Barone,Trombone
Mike Barrett (3),Piano
Mike Barron (2),"Drums, Bongos"
Mike Barrowman,Trumpet
Mike Bartolomei,Piano
Mike Batt,Piano
Mike Bazan,Tenor Saxophone
Mike Beech,Trombone
Mike Beisner,Vocals
Mike Bergeron,Drums
Mike Bergland,"Trumpet, Flugelhorn"
Mike Berkowitz,Drums
Mike Birch (2),Trombone
Mike Blanco (2),Bass
Mike Blanos,Tenor Saxophone
Mike Bloomfield,Guitar
Mike Boals,"Drums, Keyboards, Whistle"
Mike Bodolosky,Drums
Mike Bogie,Trombone
Mike Bogle,Trombone
Mike Bohnam,Trombone
Mike Boito,Piano
Mike Bolivar,Alto Saxophone
Mike Bonham,Trombone
Mike Bono (2),Guitar
Mike Boone,Bass
Mike Booth,Trumpet
Mike Boschen,Trombone
Mike Bourne,Trombone
Mike Bradley (2),Drums
Mike Breen,"Saxophone [Tenor, Soprano]"
Mike Brenner,Steel Guitar [Lap]
Mike Bresler,"Piccolo Flute, Flute, Soprano Saxophone"
Mike Brewer (4),Trumpet
Mike Brignola,Baritone Saxophone
Mike Briones,Trombone
Mike Brittain,Bass
Mike Brown (6),Bass
Mike Bryan,Guitar
Mike Bryant (3),Guitar
Mike Bukovsky,"Flugelhorn, Trumpet"
Mike Bullock,Bass
Mike Burgess,Trombone
Mike Burke,Trumpet
Mike Burney,Saxophone
Mike Butera,Saxophone
Mike Caldwell (2),Trumpet
Mike Calvin,Drums
Mike Camoia,Tenor Saxophone
Mike Campbell (2),Vocals
Mike Campbell (3),Guitar
Mike Campbell (6),"Soloist, Alto Saxophone"
Mike Canonico,Trumpet
Mike Capocci,"Piano, Electric Piano"
Mike Caputy,Percussion
Mike Carey,Tenor Saxophone
Mike Carr,Piano
Mike Carr (2),"Organ, Electric Piano, Organ [Bass Pedals]"
Mike Cartile,Trumpet [1st]
Mike Cassedy,"Piano, Electric Piano"
Mike Cassells,"Drums, Mixed By"
Mike Casteel,"Trumpet, Flugelhorn"
Mike Cavanaugh,"Clavinet, Electric Piano"
Mike Cerri,Trumpet
Mike Chiaburu,Bass
Mike Chillingworth,Alto Saxophone
Mike Christianson,Trombone
Mike Cicchetti,Tenor Saxophone
Mike Citron,Tenor Saxophone
Mike Clark (2),Drums
Mike Cohen,Piano
Mike Cohen (6),Guitar
Mike Cohen (8),Baritone Saxophone
Mike Colicchio,Piano
Mike Collier,Drums
Mike Collins,Acoustic Guitar
Mike Colrain,Drums
Mike Connors (4),Drums
Mike Conrad (2),Trombone
Mike Cooper,Guitar
Mike Cotton,Trumpet
Mike Craden,Percussion
Mike Croft,Baritone Saxophone
Mike Cuozzo,Saxophone [Tenor]
Mike Curtis (5),Baritone Saxophone
Mike D'Aversa,Guitar
Mike Daigeau,Trombone
Mike Dalager,Vocals
Mike Daly (9),"Arranged By, Bass"
Mike Danielson,Trombone
Mike Danielson (2),Trombone [Bass]
Mike Datz,Trombone
Mike Daugherty,Synthesizer
Mike Davis,Trumpet
Mike Davis (27),Trumpet
Mike Davis (3),"Trumpet, Flugelhorn"
Mike Davis (36),Trumpet
Mike Davis (42),Bass
Mike Davis (49),Trumpet
Mike Davison,Trumpet
Mike Deasy,Guitar
Mike Deasy Jr.,Saxophone
Mike del Ferro,Piano
Mike DeMicco,Guitar
Mike Dessen,Trombone
Mike Dietz (2),Guitar
Mike Dillon,Percussion
Mike DiMartino,Trumpet
Mike DiRubbo,Alto Saxophone
Mike Dodge,"Clarinet, Saxophone [Tenor]"
Mike Donio,Saxophone [3 Saxophones Among]
Mike Dooner,Piano
Mike Dosco,Guitar
Mike Doty,Saxophone
Mike Doughty,Tenor Vocals
Mike Douglas,Vocals
Mike Dowling,Guitar
Mike Downes,Bass
Mike Downes (3),Trombone
Mike Dubaniewicz,Alto Saxophone
Mike Duffy (5),Bass
Mike Durell,Bass
Mike Eagan (2),Trombone
Mike Eckroth,Piano
Mike Edie (2),Trumpet
Mike Edwards,Tenor Saxophone
Mike Egan (4),Trombone
Mike Egizi,"Programmed By, Keyboards"
Mike Elizondo,Bass
Mike Elliott (2),Guitar
Mike Ellis,"Saxophone [Saxophones], Percussion"
Mike Englander,"Drums [Ii], Percussion, Percussion [Mallets]"
Mike Engstrom (2),Trombone
Mike Ephron (2),"Piano, Organ"
Mike Essoudry,Drums
Mike Evans,"Percussion, Electronics"
Mike Eversden,Trombone
Mike Fahie,"Euphonium, Trombone"
Mike Fahn,Trombone
Mike Falcone (4),Flute
Mike Fansler,Alto Saxophone
Mike Faue,Percussion
Mike Fernández,Double Bass
Mike Fiala,Drums
Mike Figgis,"Flugelhorn, Acoustic Guitar"
Mike Findley,Alto Saxophone
Mike Finnerty,Saxophone
Mike Fitzgerald (9),Trumpet
Mike Fitzhugh,Trumpet
Mike Flack,Piano
Mike Fleming (4),Baritone Saxophone
Mike Flick,Bass
Mike Florio,Drums
Mike Flythe,Drums
Mike Forbes,Tenor Saxophone
Mike Formanek,Bass
Mike Fortune,Drums
Mike Fourie,Bass
Mike Fox,Trumpet
Mike Frank (3),Piano
Mike Galan,Trombone
Mike Galbraith,"Saxophone, Woodwind"
Mike Gamble,Guitar
Mike Gambone,Drums
Mike Garcia,Congas [Conga Drum]
Mike Gari,Guitar
Mike Garson,Piano
Mike Gehrke,Voice [Ansage]
Mike Gennaro,"Drums, Percussion"
Mike Georges,Bass
Mike Gerber,Piano
Mike Giamo,Saxophone [3 Saxophones Among]
Mike Gibbel,"Trumpet [Lead], Flugelhorn"
Mike Gibbs (4),Trumpet
Mike Gibilisco,Alto Saxophone
Mike Gilmore,Guitar
"Mike Gilmore, Mike Johnston, John Plough, Kirk Lucas","Steel Drums, Vibes, Log Drums, Sho, Cheng, Cello, Gongs, Mbira, Marimba, Ewart Rain Sticks, Bell Tree, Tamboura, Bone Guitar, Shakers, Bells, Cup Gongs, Bowed Percussion, Kora, African String Intruments, Shakuhachi, Bird Calls, Frame Drum, Bass, African Flute, Ewart Flute, Tabla, Bowed Saz, Logs, Conga, Zither, Inanga, Bowed Banjo, Bass Recorder, Penny Whistle, Tibetian Bells"
Mike Gipson,"Electronics, Percussion, Vibraphone [Musser Electric Vibes]"
Mike Godwin,Acoustic Bass
Mike Goetz,"Executive-Producer, Piano"
Mike Gonzales (4),Trumpet
Mike Gordon,"Fretless Electric Bass, Mandolin"
Mike Goyvaerts,Percussion
Mike Greensill,Piano
Mike Grey,Trombone
Mike Guerrier,Trombone
Mike Guilford,Bass
Mike Hackett,Trumpet
Mike Hagedorn,Trombone [Lead]
Mike Hale (3),Trumpet
Mike Hall (11),"Acoustic Bass, Electric Bass"
Mike Hallam,Trumpet
Mike Halpin,Trombone
Mike Hamaway,Goblet Drum [Darabeka]
Mike Hames,"Alto Saxophone, Bass Clarinet"
Mike Harris (3),Keyboards
Mike Harvey (3),Vocals
Mike Hatchard,"Piano, Electric Piano"
Mike Hatton,"Bass, Written-by, Photography [Instruments], Artwork By [Cover Design]"
Mike Haughton,"Saxophone, Flute"
Mike Haynes,"Trumpet, Flugelhorn"
Mike Haynes (4),"Double Bass, Guitar"
Mike Haynes (5),Trombone
Mike Heathman,Trombone
Mike Hedley,Tenor Saxophone
Mike Heffley,Trombone
Mike Henderson (3),Saxophone
Mike Herman,Flute
Mike Herting,Keyboards [Additional Keyboards]
Mike Higgins,Guitar
Mike Higgins (2),Guitar
Mike Hilditch,Trombone
Mike Hilman,Trumpet
Mike Hobi,Trombone
Mike Hoffmann,Electric Guitar
Mike Holder (3),Trombone [Uncredited]
Mike Holguin,Drums
Mike Holober,Piano
Mike Hope,Piano
Mike Horbal,Trumpet
Mike Hough (2),Saxophone
Mike Howlett,"Bass Guitar, Vocals"
Mike Howling,Guitar
Mike Hoyt,Trumpet
Mike Hughes,Drums
Mike Humphrey,Trombone
Mike Hurley,Drums
Mike Hurley (3),Piano
Mike Hurst,Guitar
Mike Hyman,Drums
Mike Iacopelli,Recorded By [Vocals]
Mike Iapichino,Trumpet
Mike Innes,Trombone
Mike Isaac,Bass
Mike Jamieson,Trombone
Mike Janzen,Piano
Mike Johnson (40),Trombone
Mike Johnston,Bass
Mike Jones,Piano
Mike Jones (38),Trumpet
Mike Jordan (2),Drums
Mike Joyce (9),Trombone
Mike Kamuf,Trumpet
Mike Karn,Bass
Mike Karoub,Bass
Mike Katz,Piano
Mike Kelly (22),Trumpet
Mike Keneally,Guitar
Mike Kirgan,Trumpet
Mike Knapp,Bass
Mike Knauf,Tenor Saxophone
Mike Koch (2),"Drums, Percussion"
Mike Kocur,Piano
Mike Koenning,Drums
Mike Komrada,Percussion
Mike Koskinen,Trumpet
Mike Kowalski,Backing Vocals
Mike Krepper,Alto Saxophone
Mike Krikava,Baritone Saxophone
Mike Krueger (2),Trumpet
Mike Kuhl,Drums
Mike Kull,Piano
Mike Lacy,Trombone
Mike Lacy (2),Drums
Mike Ladd,"Voice, Synthesizer"
Mike Lala,Trumpet
Mike Lang,Piano
Mike Lapacek,Trumpet
Mike Larson (3),Trombone
Mike Lawler,"Keyboards, Synthesizer"
Mike Lawrence,Trumpet
Mike LeBlanc (4),Trombone
Mike Lebrun (2),"Tenor Saxophone, Producer"
Mike Ledonne,Piano
Mike LeDonne,Piano
Mike Leech,Bass [Fender]
Mike LeFebvre,Drums
Mike Lent,Bass [Acoustic]
Mike Leslie,Bass
Mike Levy,Vocals
Mike Levy (9),Bass
Mike Lindsay (3),Drums
Mike Lindup,"Electric Piano [Fender Rhodes], Synthesizer [Yamaha Dx7], Backing Vocals"
Mike Lipskin,"Producer, Synthesizer, Percussion, Mixed By [Remix], Other [Back Sleeve Note]"
Mike Lockwood,"Drums, Percussion"
Mike Lovatt,Trumpet
Mike Lowenstern,Bass Clarinet
Mike Lucas (8),Piano
Mike Luzwick,Trumpet
Mike Maher,"Trumpet, Flugelhorn"
Mike Mainieri,Percussion
Mike Maisel,Saxophone
Mike Majkowski,Double Bass
Mike Malone,Trumpet
Mike Malone (9),"Drums, Percussion"
Mike Mandel,"Piano, Synthesizer"
Mike Mantler,Trumpet
Mike Marcus,Bass
Mike Markel,Piano [Uncredited]
Mike Marlier,Drums
Mike Marshall (2),Guitar
Mike Martens (2),Alto Saxophone
Mike Matthews (6),Tenor Saxophone
Mike Mattingly (2),Guitar
Mike McClelland,Drums
Mike McCombe,Drums
Mike McGinnis,"Clarinet, Bass Clarinet"
Mike McGrath,Trumpet
Mike McGuffey,Trumpet
Mike McGuirk,Bass
